root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um,relative_caliber
720575941545033916,descending_neuron,DNge071,auto:DNge179,right,isomorphic,3,0.04678816071428648,0.2440748582850223,0.5178383722867725
720575941545068988,sensory_ascending,SApp10,auto:SApp19,left,isomorphic,3,0.09602349257865692,0.3496582731392601,0.9856214412772022
720575941545086088,ascending_neuron,AN08B106,auto:AN08B111,left,dimorphic,3,0.03129132962963051,0.1996030017103667,0.5341620572690637
720575941545087493,ascending_neuron,AN01A055,auto:AN01A086,right,isomorphic,12,0.1886629798772329,0.489806080767063,1.310781007918294
720575941545094536,ascending_neuron,AN07B078,auto:AN07B078_b,right,isomorphic,3,0.06882560024903524,0.2960261406146523,0.7922021759251493
720575941545120361,descending_neuron,DNg12_e,DNg12_e,left,isomorphic,3,0.1296571708556403,0.4063060880566333,0.8620342331357784
720575941545219464,ascending_neuron,AN10B051,auto:AN10B045,right,isomorphic,3,0.0496478650392496,0.2514231991675529,0.6728392467132646
720575941545249468,ascending_neuron,AN07B076,auto:AN07B050,right,isomorphic,3,0.02420028765431984,0.1755356466232605,0.4697548700214079
720575941545273861,descending_neuron,DNpe054,auto:DNpe015,left,isomorphic,3,0.0395031538041822,0.2242698766335775,0.4758193805167261
720575941545312005,descending_neuron,DNp22,DNp22,right,isomorphic,3,1.178283702219789,1.224841787572251,2.598670268793339
720575941545418501,descending_neuron,DNg67,DNg67,right,isomorphic,3,0.03842325059385158,0.2211831867329898,0.4692705434709712
720575941545432425,descending_neuron,DNb08,DNb08,right,isomorphic,3,0.3480235649194545,0.6656706132579044,1.412311736123474
720575941545487365,ascending_neuron,ANXXX082,ANXXX082,left,isomorphic,3,0.2102311081790172,0.5173727480907944,1.384552782909249
720575941545505672,sensory_ascending,SApp06,SApp06,left,dimorphic,3,0.1914780637191656,0.4937584861818183,1.391813059145177
720575941545785524,ascending_neuron,AN07B076,AN07B076,right,isomorphic,3,0.05482770119047765,0.2642135448886739,0.7070677769709923
