bodyId,superclass,type,instance,somaSide,subclass,somaNeuromere,dimorphism,neck_area_um2,neck_diameter_um,diameter_cv_across_slabs,n_slabs,path_neck_to_brain_arbor_um,path_neck_to_vnc_arbor_um,model_velocity_m_per_s,model_arbor_to_arbor_delay_ms
87710.0,sensory_ascending,LgAG2,LgAG2_L,,leg bristle,,,0.052224000000000007,0.2578636499862847,0.07392246297900666,3,321.7016637948686,262.9131148045374,0.35546193677140664,1.6446621089992115
88070.0,ascending_neuron,AN04B004,AN04B004_R,R,IA,T1,,0.10553365316752629,0.366564619832929,0.17224923561266717,3,200.0103211669323,141.05744196815067,0.42381206178934455,0.8047618128070418
88089.0,sensory_ascending,SAxx01,SAxx01_R,,abdomen,,,0.07323327119538427,0.3053579815172313,0.6599306271578634,3,297.13851917604507,167.77631917851951,0.38681443993657133,1.2019066259025901
88111.0,sensory_ascending,SApp10,SApp10_R,,campaniform sensilla,,,0.4122818285752126,0.7245229656247509,0.22163239501687385,3,259.9970849764031,277.9730774124624,0.5958324035801745,0.9028883947169831
88392.0,ascending_neuron,AN07B042,AN07B042_R,R,BA,T1,,0.10777386750206873,0.3704348120691166,0.12760726341339879,3,157.2036986053858,165.1774745980888,0.42604349298383504,0.7566860626027831
88408.0,ascending_neuron,AN08B098,AN08B098_L,L,BA,T1,,0.8298232177053264,1.0278928620832999,0.4564008709124843,3,175.17739178047447,187.57448454481133,0.7096953588835261,0.5111374504350111
88461.0,ascending_neuron,AN07B069_b,AN07B069_b_L,L,,T1,,0.24271928736268272,0.5559134779262914,0.22066360700323562,3,158.73610845410983,152.52235423743556,0.5219172388261215,0.5963751329456319
88607.0,sensory_ascending,LgAG9,LgAG9_L,,leg bristle,,,0.05516425597906156,0.2650232294883494,0.17758281917036145,3,250.8286712289589,272.86104652769905,0.3603628483199831,1.4532289335543525
89046.0,sensory_ascending,"SApp09,SApp22","SApp09,SApp22_L",,campaniform sensilla,,,0.5814008810895133,0.8603851423328011,0.017064212555422367,3,180.8096993995258,368.3234373863126,0.6492986367944049,0.8457327732842859
89217.0,ascending_neuron,AN01B011,AN01B011_L,L,IA,T2,,0.10916090957477,0.37281092635524565,0.04865432177649892,3,328.96690195009546,175.6186361503607,0.42740771391502796,1.180571902828997
89347.0,sensory_ascending,"SApp09,SApp22","SApp09,SApp22_L",,campaniform sensilla,,,0.8625517886974134,1.047967101941466,0.11506104484878212,3,177.76021021805033,198.14083419309318,0.7165918503243797,0.5245678474308413
