bodyId,superclass,type,instance,somaSide,subclass_DN_target,somaNeuromere_AN_origin,dimorphism,predicted_neurotransmitter,neurons_in_cell_type,neck_area_um2,neck_diameter_um,diameter_cv_across_slabs,n_slabs,output_synapses_total,output_synapses_VNC,output_synapses_brain,postsynaptic_partners,postsynaptic_partners_ge5,input_synapses_total,input_synapses_VNC,input_synapses_brain,presynaptic_partners,presynaptic_partners_ge5,path_neck_to_brain_arbor_um,path_neck_to_vnc_arbor_um,walk_end_brain,walk_end_vnc,model_velocity_m_per_s,model_arbor_to_arbor_delay_ms
11598,descending_neuron,DNg31,DNg31_L,L,xl,MD,,gaba,2.0,1.685085503239866,1.464758512173576,0.1574278616776662,3,11512,10862,650,6045,191,5546,437,5109,715,145,414.4443652155836,161.7173076919736,branch,branch,0.8471904573146775,0.6800851779348475
11600,descending_neuron,DNge084,DNge084_R,R,xn,LB,,gaba,2.0,0.3064194874397749,0.6246162091122843,0.171120729993651,3,13229,5502,7727,5602,307,2869,51,2818,695,146,160.1472426600583,227.5822091527344,branch,branch,0.5532286529682092,0.7008484642516757
11604,ascending_neuron,AN05B004,AN05B004_R,R,BA,A8,,gaba,2.0,0.9348806419228874,1.091021082703544,0.3724112937563292,3,16839,11611,5228,3201,296,14793,11968,2825,1169,296,225.8851026499886,148.341323505922,branch,branch,0.7311636824437716,0.5118230502165152
11610,descending_neuron,DNae007,DNae007(VES009)_R,R,xn,,,acetylcholine,2.0,0.2046227818731771,0.5104251342113224,0.1426683033691765,3,14578,2642,11936,7058,242,10366,207,10159,1189,326,220.809562366965,169.6366044236955,branch,branch,0.5001083040337843,0.7807232226327607
11613,descending_neuron,DNp45,DNp45(PVLP117)_L,L,xn,,,acetylcholine,2.0,0.216394245742624,0.5249016202419721,0.2724626898927038,3,16374,6903,9471,6526,428,6043,274,5769,1031,263,230.8618855668815,162.4847879952923,branch,branch,0.5071506619522115,0.7756012228161867
11614,descending_neuron,DNpe032,DNpe032(PS216)_L,L,xn,,,acetylcholine,2.0,0.9107013919273454,1.076819866852043,0.2397495300618376,3,11995,9894,2101,5943,248,2596,209,2387,554,112,163.7452459185827,120.1584759611096,branch,branch,0.7263895199942667,0.390842260337034
11616,ascending_neuron,ANXXX106,ANXXX106_L,L,BA,T1,,gaba,2.0,0.6946985267320466,0.9404879775438383,0.2086463564917149,3,6409,4012,2397,2002,173,1487,1233,254,443,70,196.2093134354909,135.6942618422127,branch,branch,0.6788513158243716,0.4889193959573493
11625,descending_neuron,DNae005,DNae005(VES009)_R,R,xl,,potentially sexually dimorphic,acetylcholine,2.0,0.2896267183538306,0.6072595746630681,0.08700565934188866,3,15402,7733,7669,8094,281,7855,223,7632,925,258,224.5052932491488,168.7224857973453,branch,branch,0.5454880306522805,0.7208733408435789
11632,descending_neuron,DNpe052,DNpe052(AVLP564)_R,R,xl,CG,potentially sexually dimorphic,acetylcholine,2.0,0.203311218572138,0.508786677669866,0.08620394390681313,3,16529,3463,13066,6539,471,4125,96,4029,1011,182,220.9775762595604,169.7944736142528,branch,branch,0.4993049890179691,0.7826319753831861
11647,descending_neuron,DNpe006,DNpe006(CL330)_R,R,xl,,,acetylcholine,2.0,0.6567749557070514,0.9144571316348857,0.1308580254027768,3,12142,9264,2878,4984,330,1445,141,1304,499,64,186.461875124637,147.8451568606551,branch,branch,0.6693907636807472,0.4994198458118152
11653,descending_neuron,DNg27,DNg27_R,R,ut,,,glutamate,2.0,0.6462720000000001,0.9071157958359468,0.2046945287529241,3,21919,11795,10124,8242,642,3599,460,3139,847,127,164.3856345323436,166.4284082388682,branch,branch,0.6666983875483831,0.496197454425678
11657,descending_neuron,DNpe005,DNpe005(WED123)_L,L,xn,,,acetylcholine,2.0,0.9540944527944014,1.102175479091368,0.2242936433548154,3,29231,11305,17926,13643,599,3410,133,3277,843,150,180.0828030160318,202.0836869193897,branch,branch,0.7348918184023895,0.5200309492711844
11662,descending_neuron,DNp24,DNp24_L,L,xn,,,gaba,2.0,0.2511381749699369,0.5654724180402985,0.2215354996598448,3,6349,4720,1629,2888,99,833,179,654,325,35,178.5539734800347,155.3400920314767,branch,branch,0.5263853007443751,0.6343149495993583
11674,descending_neuron,DNp68,DNp68(CL138)_L,L,xn,CG,sexually dimorphic,acetylcholine,2.0,0.3524032186708683,0.6698460373128308,0.2041541077182759,3,18360,10206,8154,8298,306,6998,412,6586,1198,292,174.9755795838919,153.6446706435565,branch,branch,0.57290885687279,0.5735995285903147
11676,descending_neuron,DNg26,DNg26_L,L,xn,MX,,unclear,4.0,0.32448,0.6427602721665875,0.2173112807957321,3,2555,1576,979,1644,54,926,197,729,333,55,100.6922839207496,243.9902862568248,branch,branch,0.561206319780549,0.6141815550337301
11687,descending_neuron,DNpe031,DNpe031(PVLP116)_R,R,xn,,,glutamate,4.0,0.58489346004057,0.8629655165651925,0.1262802416501676,3,16380,10790,5590,8023,423,6272,173,6099,1034,300,179.448885062224,134.6090958740384,branch,branch,0.6502715610550289,0.4829643486587679
11693,descending_neuron,DNd03,DNd03_R,R,xn,,,glutamate,2.0,0.3971028749993319,0.7110605345377943,0.4720025360819681,3,31238,20084,11154,15276,758,4984,1757,3227,1629,177,81.01688418036267,132.4705703188815,branch,branch,0.5902708377715429,0.3616771163983403
11704,descending_neuron,DNp07,DNp07_L,L,xn,CG,,acetylcholine,2.0,1.533538647196197,1.397341063946044,0.03134623876415513,3,16751,16118,633,8194,328,6319,333,5986,980,220,373.5882691451581,184.3188035693974,branch,branch,0.8274642719378049,0.6742370536531028
11706,descending_neuron,DNg111,DNg111(hb1573072464)_R,R,xn,,sexually dimorphic,glutamate,2.0,0.2277450854295463,0.5384923851717741,0.04910826050569983,3,13806,6748,7058,6439,279,7304,131,7173,1202,301,213.6990466113511,163.4594047911335,branch,branch,0.513674282726096,0.7342365854893206
11713,descending_neuron,DNg101,DNg101_R,R,xl,,sexually dimorphic,acetylcholine,2.0,0.8010507452200124,1.009915583677018,0.1393072014701629,3,17266,14509,2757,9010,293,5040,464,4576,1100,220,267.0004721412375,114.4374767632012,branch,branch,0.7034618937808491,0.5422297245616958
11724,descending_neuron,DNp64,DNp64(CL137)_R,R,xn,CG,,acetylcholine,2.0,0.3070081392288064,0.6252158854521171,0.478766639243644,3,17711,9311,8400,9247,362,5059,83,4976,1058,272,173.675370502502,153.665895914358,branch,branch,0.5534941588413895,0.591408709898714
11733,ascending_neuron,AN08B018,AN08B018_a_L,L,BA,T1,,acetylcholine,14.0,1.433235214008068,1.350870738221106,0.2221182031268174,3,12264,1365,10899,4031,206,4480,3997,483,760,167,315.5335017678984,216.4831934256637,branch,branch,0.813588754671758,0.6539135308085766
11737,descending_neuron,DNge073,DNge073_R,R,xl,LB,,acetylcholine,2.0,0.646498432525036,0.9072746937395384,0.0443802625682761,3,23872,21177,2695,11853,530,7729,236,7493,1277,306,157.9479893171579,113.0865171632796,branch,branch,0.6667567771926834,0.4064968152578857
11739,descending_neuron,DNde007,DNde007_R,R,xl,,sexually dimorphic,glutamate,2.0,0.3666689779487783,0.6832696704464569,0.1009498304064123,3,7723,5563,2160,2654,259,1451,194,1257,371,55,250.1520186203081,23.01071886323552,branch,end,0.5786208936071734,0.4720927648855249
11742,descending_neuron,DNp104,DNp104(CL324)_L,L,xn,,,acetylcholine,2.0,0.1398733587931087,0.4220098241395759,0.3398220824373149,3,13897,2029,11868,6929,220,7494,95,7399,1066,283,174.5196863651429,210.0057780056419,branch,branch,0.4547359825529448,0.8456015778914409
11765,descending_neuron,DNge142,DNge142_R,R,xl,MD,,gaba,2.0,0.6109784520850421,0.8819988243618885,0.02772010611632422,3,24410,16327,8083,11424,485,4422,452,3970,1110,215,182.3602771428724,152.9525578734091,branch,branch,0.6574035472503363,0.5100563214463396
11770,descending_neuron,DNae010,DNae010(PS016)_R,R,xn,,,acetylcholine,2.0,0.9693389129526448,1.110945829562316,0.1231287004674193,3,8180,5652,2528,4615,148,6202,353,5849,631,194,195.0392146744848,175.5116303777126,branch,branch,0.7378099053858893,0.5022307810551715
11796,ascending_neuron,AN10B005,AN10B005(IB113)_R,R,BA,T1,,acetylcholine,2.0,1.359749710063237,1.315783835512006,0.08457825731495855,3,26558,271,26287,14147,375,4744,3621,1123,1111,207,204.7323689326716,153.3080430044872,branch,branch,0.8029533482095226,0.4459043763072171
11797,descending_neuron,DNge041,DNge041_L,L,xl,LB,,acetylcholine,2.0,0.290489386554371,0.608163279298318,0.3531331013956718,3,12358,5715,6643,6178,208,5935,121,5814,1072,238,169.9488078622291,156.1306980193352,branch,branch,0.5458937688380183,0.5973314305742168
11814,descending_neuron,DNa04,DNa04(PS015)_L,L,ut,,,acetylcholine,2.0,3.02671477907453,1.963092699632914,0.04148936570743674,3,13456,10560,2896,6516,257,9484,341,9143,1023,282,185.9212217606043,173.1534520631612,branch,branch,0.9807728701489086,0.3661139951487932
11820,descending_neuron,DNge123,DNge123_L,L,fl,,,glutamate,2.0,0.1757154871968332,0.4729988445243954,0.2366180008274374,3,8298,3003,5295,3702,134,3813,87,3726,627,129,213.7840386552622,189.7796354738864,branch,branch,0.4814243801646876,0.8382701224875563
11821,descending_neuron,DNge075,DNge075_R,R,xl,,,acetylcholine,2.0,0.4671387017370955,0.7712194680685353,0.07139644124012588,3,14555,9784,4771,5509,356,4212,2706,1506,908,211,196.7890121208882,136.9788467495143,branch,branch,0.6147337141832895,0.5429470536097618
11822,ascending_neuron,AN08B018,AN08B018_d_R,R,BA,T3,,acetylcholine,14.0,0.842112,1.035475880692553,0.130820528120293,3,7050,117,6933,3046,122,3524,3226,298,553,122,360.5972092781705,250.4367241856324,branch,branch,0.7123083472340829,0.8578222280231139
11830,descending_neuron,DNa05,DNa05(PS028)_R,R,ut,,,acetylcholine,2.0,1.175143473130398,1.223208543432822,0.2714738867654716,3,12256,9052,3204,6195,258,4912,342,4570,614,173,183.8467206278777,178.551694959514,branch,branch,0.7741913111641611,0.468099306155282
11846,descending_neuron,DNp102,DNp102(PS212)_L,L,xn,,,acetylcholine,2.0,1.887195131785188,1.550113373408729,0.140863525102604,3,13021,11141,1880,6949,252,8779,331,8448,1030,330,173.0139361030785,185.0191172065867,branch,branch,0.8715248435760605,0.4108122171716596
11851,descending_neuron,,,L,xn,,,unclear,,0.3842275662446389,0.6994381541780686,0.1452691716976182,3,8823,4829,3994,4146,249,2787,520,2267,828,122,170.6842259370073,154.3613281388189,branch,branch,0.5854269344224381,0.5552282188664668
11859,descending_neuron,DNpe050,DNpe050(CL341)_L,L,xn,,,acetylcholine,2.0,0.2820446009230861,0.5992581574532972,0.3305275554668441,3,15326,10682,4644,5665,366,4761,61,4700,774,191,257.9971862488257,155.7063318799681,branch,branch,0.5418823646808554,0.7634563239061061
11867,ascending_neuron,AN08B018,AN08B018_a_R,R,BA,T1,,acetylcholine,14.0,1.42060392970582,1.344904866787098,0.4665325479158298,3,11173,1094,10079,5141,173,4468,4047,421,726,186,288.0012037441861,210.8987344278383,branch,branch,0.8117902344360137,0.6145675533022789
11869,ascending_neuron,AN19A038,AN19A038_L,L,IA,T1,,acetylcholine,2.0,0.8526669199487732,1.041944931830041,0.1266474467654579,3,10988,78,10910,3357,248,230,57,173,158,4,331.7755410022513,270.3629864423724,branch,branch,0.714529927012662,0.8427058191419228
11872,descending_neuron,DNp22,DNp22(hb1560471374)_R,R,ut,,,acetylcholine,2.0,4.507392,2.395618863263294,0.04482431330684755,3,6580,6126,454,3771,119,4326,106,4220,391,99,223.4140097107617,196.866245439084,branch,branch,1.083445080748911,0.387910991168408
11876,descending_neuron,DNae003,DNae003(PS040)_L,L,xn,,,acetylcholine,2.0,1.45155428999657,1.359476488709387,0.3120772144885521,3,11674,9422,2252,6103,198,8551,436,8115,902,299,193.6922177080812,175.0630290979534,branch,branch,0.8161761326255502,0.4518084174059205
11881,descending_neuron,DNge023,DNge023_R,R,xl,LB,,acetylcholine,2.0,0.9572494115049521,1.103996288446011,0.1842383019302323,3,14178,14064,114,7652,197,6987,455,6532,565,187,187.303829520834,174.298061300144,branch,branch,0.7354985937026293,0.4916418520946593
11889,descending_neuron,DNge065,DNge065_L,L,fl,,,gaba,2.0,0.4678908176750662,0.771840068720434,0.1147605034920192,3,9818,5070,4748,4097,168,6422,249,6173,1647,221,209.4116670001828,149.60153472459,branch,branch,0.6149810026927764,0.5837793365206169
11916,descending_neuron,DNbe005,DNbe005(PS069)_R,R,xn,,sexually dimorphic,glutamate,2.0,0.7361792229682098,0.9681593353862418,0.4014930340959903,3,12291,9751,2540,6235,238,6460,281,6179,889,230,182.7602832360296,183.5628788075296,branch,branch,0.6887656164031842,0.5318546009258449
11931,descending_neuron,DNd04,DNd04_R,R,xl,,,glutamate,2.0,0.5654934428090106,0.8485332130640877,0.08602207663053542,3,19548,12259,7289,8284,573,5582,458,5124,1191,239,193.4086420201497,157.3133411990933,branch,branch,0.6448110377478063,0.5439143604679031
11944,descending_neuron,DNpe026,DNpe026(CL202)_L,L,xn,,,acetylcholine,2.0,0.1960515697626433,0.4996204673841955,0.1393059418636591,3,13651,5789,7862,7070,277,4153,184,3969,835,191,225.5131321245531,201.5646890046627,branch,branch,0.4947868521073046,0.8631551531943199
11948,descending_neuron,DNge142,DNge142_L,L,xl,MD,,gaba,2.0,0.4483003682721705,0.7555089389302182,0.02301760909588507,3,23380,16024,7356,11222,453,4660,416,4244,1152,228,204.9296559678179,152.3015079259761,branch,branch,0.6084401203699563,0.5871262461728902
11951,descending_neuron,DNg38,DNg38_R,R,xl,,,gaba,2.0,0.4345946109739066,0.743870314383342,0.3228257794782368,3,11085,9218,1867,5439,209,5806,63,5743,550,161,176.9519691051739,133.6001762540967,branch,branch,0.6037354172548083,0.5143845076562755
11955,descending_neuron,DNae010,DNae010(PS016)_L,L,xn,,,acetylcholine,2.0,2.057818366824214,1.61867097352208,0.1669137392862773,3,8276,6096,2180,4607,154,6421,423,5998,697,219,198.7518961471889,170.5582629706589,branch,branch,0.8905890056731103,0.414680797500663
11961,descending_neuron,DNp57,DNp57(PS195)_L,L,xn,,,acetylcholine,2.0,0.862943469486782,1.048205013449913,0.4325896812836403,3,13756,6016,7740,6726,246,8307,208,8099,927,265,172.3795634265678,175.8372906942188,branch,branch,0.7166731867388771,0.4858795620711018
11965,descending_neuron,DNge053,DNge053_R,R,xn,,,acetylcholine,2.0,0.5414479375419544,0.8302968899699137,0.4372337458732223,3,23793,12751,11042,10654,529,10560,573,9987,1183,357,184.1467776810876,106.1003213044822,branch,branch,0.6378443980198131,0.4550437377621274
11970,descending_neuron,DNge042,DNge042_R,R,xl,,,acetylcholine,2.0,0.2224721943053887,0.532222129748121,0.06567204017665099,3,10751,2480,8271,4080,183,5845,181,5664,489,140,196.1334255992923,187.2525836527355,branch,branch,0.5106748902937948,0.7507438030318334
11976,ascending_neuron,AN27X017,AN27X017_L,L,BA,T3,,acetylcholine,2.0,1.550433969948608,1.405017381401133,0.1266704551258142,3,9797,10,9787,4401,196,2619,1692,927,524,96,172.0258046749762,365.9258360322801,branch,branch,0.8297340036942894,0.6483422859760987
11986,descending_neuron,DNge018,DNge018_L,L,nt,LB,,acetylcholine,2.0,0.4845495976137717,0.7854601893586746,0.1441592177194354,3,9032,4166,4866,3982,158,2915,133,2782,341,87,166.9152527553677,168.9297199918973,branch,branch,0.6203833434141752,0.5413507250194673
11998,ascending_neuron,AN09B017f,AN09B017f_R,R,BA,A10,male-specific,glutamate,2.0,0.45854332258219,0.76409128465511,0.04507012455579268,3,16825,1330,15495,8403,197,1896,1138,758,520,58,270.535835709409,212.3895002198875,branch,branch,0.6118862063169948,0.7892404354660536
