root_888,superclass,cell_type,malecns_cell_type,side,dimorphism,n_planes,neck_area_um2,neck_diameter_um
720575941652159449,ascending_neuron,AN08B097,AN08B097,left,dimorphic,3,0.05339078051567759,0.26072831276414216
720575941652159505,sensory_ascending,SApp03,auto:SApp09,left,isomorphic,3,0.34593564866567944,0.6636708128392818
720575941652278033,descending_neuron,DNge087,DNge087,left,isomorphic,3,0.054487476547618804,0.232207131933782
720575941652319705,descending_neuron,DNge019,DNge019,right,isomorphic,3,0.03916537853933464,0.22330899834266138
720575941652493524,descending_neuron,DNg12_e,DNg12_e,right,isomorphic,3,0.11884290452349187,0.38899291208259207
720575941652552433,ascending_neuron,ANXXX171,ANXXX171,left,isomorphic,3,0.06101268308275127,0.2787180669266939
720575941652614129,descending_neuron,DNae002,DNae002,left,isomorphic,3,2.0359309023070957,1.6100396688174288
720575941652633585,descending_neuron,DNae002,DNae002,right,isomorphic,3,2.1696857264354805,1.6620859383753575
720575941652643313,ascending_neuron,AN06B025,AN06B025,left,isomorphic,3,0.3823180801963994,0.6976979994046744
720575941652652305,ascending_neuron,AN07B032,AN07B032,left,isomorphic,3,0.053755154397030463,0.2616164909015551
720575941652716305,ascending_neuron,AN05B052,auto:AN05B063,right,isomorphic,3,0.07557389500237495,0.3101994062964771
720575941652728049,descending_neuron,DNg74_a,DNg74_a,left,isomorphic,3,1.8874303253151177,1.5502099625933128
720575941652815857,descending_neuron,DNb03,DNb03,right,isomorphic,3,0.18806374452741528,0.48933648593097595
720575941652845041,ascending_neuron,ANXXX033,ANXXX033,right,isomorphic,3,0.2557362747830749,0.5706255673180696
720575941652850709,ascending_neuron,AN09B024,AN09B024,right,isomorphic,12,0.1345896082412199,0.4137713140328688
720575941652863253,ascending_neuron,ANXXX977,auto:AN09B033,left,female-specific,3,0.23061116241496973,0.5418701426025269
720575941652883477,descending_neuron,DNp62,,left,isomorphic,3,0.23982910146834605,0.5525937892953557
720575941653100817,ascending_neuron,AN10B047,auto:AN10B039,left,dimorphic,3,0.02307273903995477,0.17139756051655236
720575941653259025,ascending_neuron,ANXXX296,ANXXX296,left,isomorphic,3,0.09477286117311912,0.34737379667054763
720575941653335829,ascending_neuron,AN05B053,AN05B053,left,isomorphic,3,0.03302118055555395,0.2050460262896385
720575941653370389,ascending_neuron,AN10B015_a,auto:AN10B015,left,dimorphic,3,0.307036658484226,0.6252449242220696
720575941653538065,ascending_neuron,AN05B078,auto:ANXXX102,right,isomorphic,3,0.04001955609668119,0.22573099340817526
720575941653553169,ascending_neuron,AN06B002,AN06B002,right,isomorphic,3,0.1557552859684205,0.4453243642520885
720575941653710297,ascending_neuron,AN07B060,AN07B060,left,isomorphic,3,0.026454728025302087,0.18352985007084863
720575941653788633,sensory_ascending,SAchxx,auto:LgAG1,,dimorphic,3,0.033143669312170894,0.20542597310437952
720575941653831185,descending_neuron,DNae005,DNae005,left,dimorphic,3,0.33434723389068965,0.6524600523115899
720575941653841681,descending_neuron,DNge001,auto:DNge028,right,isomorphic,3,0.12485437565767607,0.3987098298519519
720575941653882865,descending_neuron,DNxl114,auto:DNge153,left,isomorphic,3,0.28982011225842813,0.6074622850737441
720575941653906161,descending_neuron,DNge139,DNge139,right,isomorphic,3,0.19133412422116522,0.49357286515332005
720575941653952217,sensory_ascending,SApp11,SApp11,left,isomorphic,3,0.05744977059065978,0.27045761174718524
720575941654021081,ascending_neuron,AN05B046,AN05B046,right,isomorphic,3,0.054531409635899086,0.2634986663696399
720575941654240273,ascending_neuron,AN07B049,auto:AN07B042,left,isomorphic,3,0.055501394510582266,0.26583184587031783
720575941654376916,descending_neuron,DNg106,DNg106,right,isomorphic,3,0.08487937784791029,0.32874272677654354
720575941654405076,ascending_neuron,AN05B062,AN05B062,left,isomorphic,3,0.07584330384237238,0.31075182003565616
720575941654557969,ascending_neuron,AN05B081,AN05B081,left,isomorphic,3,0.06826354050925981,0.2948149237064167
720575941654687188,ascending_neuron,AN08B113,AN08B113,left,isomorphic,3,0.02341608852772301,0.17266814962961846
720575941654974169,ascending_neuron,AN01A049,AN01A049,left,isomorphic,3,0.15576566148684964,0.44533919647487563
720575941655117012,descending_neuron,DNg11,DNg11,right,isomorphic,3,0.20834908909675554,0.5150517443398662
720575941655157209,ascending_neuron,AN07B071,auto:AN07B071_d,left,isomorphic,3,0.07862769028950181,0.31640462162835525
720575941655202265,ascending_neuron,AN03B009,AN03B009,right,isomorphic,12,0.10009814405759512,0.3550311170233751
720575941655483092,ascending_neuron,AN09B032,AN09B032,left,isomorphic,3,0.02618464730982833,0.18259060331741234
720575941655504084,ascending_neuron,AN19B014,AN19B014,right,isomorphic,3,0.15557390354191378,0.44506499089276663
720575941655534804,ascending_neuron,AN07B024,AN07B024,right,isomorphic,3,0.2534625314304616,0.5680831964826479
720575941655594708,sensory_ascending,SApp15,auto:SApp06,left,isomorphic,3,0.05790357031926385,0.2715236923582176
720575941655664596,ascending_neuron,AN17B013,AN17B013,right,isomorphic,3,0.1050082712896835,0.3656510406525641
720575941655665108,ascending_neuron,AN01B005,AN01B005,left,isomorphic,3,0.11758390053689054,0.38692695949981976
720575941655669784,ascending_neuron,AN19B093,AN19B093,right,isomorphic,3,0.10509398858027649,0.3591856398700619
720575941655733972,sensory_ascending,SApp17,auto:SApp08,right,isomorphic,3,0.31860833032915564,0.6369181465911647
720575941655750356,ascending_neuron,AN19B049,AN19B049,left,isomorphic,3,0.26916201647529564,0.5854124386421967
720575941655820244,descending_neuron,DNg21,DNg21,left,isomorphic,3,0.2988326113478299,0.6168350654952511
720575941655952340,ascending_neuron,AN05B063,AN05B063,right,isomorphic,3,0.08142684702020118,0.3219873935874209
720575941656032980,sensory_ascending,SApp20,auto:SApp11,left,isomorphic,3,0.13000329277130973,0.40684804694408266
720575941656315353,ascending_neuron,AN09B030,AN09B030,left,isomorphic,3,0.0810385108692363,0.32121867424725165
720575941656557529,ascending_neuron,ANXXX433,,right,isomorphic,3,0.30702259135152543,0.6252306010072013
720575941656710736,descending_neuron,DNge091,DNge091,right,isomorphic,3,0.18235405994232326,0.4818510145901659
720575941656864724,ascending_neuron,AN05B053,AN05B053,left,dimorphic,3,0.06766231314935096,0.29351376933630835
720575941656903124,descending_neuron,DNge101,DNge101,left,isomorphic,3,0.1530274160345961,0.44140747334394725
720575941657558296,ascending_neuron,AN14B012,AN14B012,left,isomorphic,3,0.05864145340909042,0.27324827070120417
720575941657683024,sensory_ascending,LgAG7,auto:LgAG7,left,isomorphic,3,0.036706870837198514,0.21618658495245965
720575941657721624,ascending_neuron,AN09B033,AN09B033,right,isomorphic,3,0.07884142614309025,0.3168343755476971
720575941657879576,descending_neuron,DNp06,DNp06,right,isomorphic,3,2.290439916285245,1.7077115319205025
720575941657989712,descending_neuron,DNge003,DNge003,right,isomorphic,3,0.38145982247966687,0.6969144357155812
720575941658066456,descending_neuron,DNge138,DNge138,right,isomorphic,3,0.31956779949304115,0.6378764453548489
720575941658075728,sensory_ascending,SApp05,auto:SApp09,left,isomorphic,3,0.19637567774771592,0.5000332774251738
720575941658542928,ascending_neuron,AN05B078,auto:AN08B095,right,isomorphic,3,0.042007586296639074,0.23126979926431335
720575941658595352,ascending_neuron,AN06A112,AN06A112,left,isomorphic,3,0.045202210317458885,0.23990256706760024
720575941658613784,descending_neuron,DNge172,DNge172,right,isomorphic,3,0.45403609304302717,0.7603267116177335
720575941658621976,descending_neuron,DNpe054,auto:DNpe015,right,isomorphic,3,0.06380385120535756,0.2850220806552705
720575941658641176,ascending_neuron,AN07B070,AN07B070,left,isomorphic,3,0.02830122738956568,0.1898268734319167
720575941658893648,ascending_neuron,AN06A026,AN06A026,left,isomorphic,3,0.06762642922207172,0.2934359281934905
720575941658902040,ascending_neuron,AN07B091,auto:AN07B082_c,left,isomorphic,3,0.04428793571428844,0.23746399960019365
720575941658910488,descending_neuron,DNge026,DNge026,right,isomorphic,3,0.4822820112094198,0.7836201429176258
720575941658936144,descending_neuron,DNp69,DNp69,right,isomorphic,3,0.5055511599865841,0.8023015198674696
720575941658941264,descending_neuron,DNge079,,left,dimorphic,12,0.6988887464311637,0.9432702373713407
720575941659000400,ascending_neuron,AN01B004,AN01B004,left,isomorphic,3,0.2060295953703715,0.5121767548526012
720575941659040080,ascending_neuron,AN08B024,AN08B024,left,isomorphic,3,0.266411131930087,0.5824132453258969
720575941659115288,ascending_neuron,AN05B096,AN05B096,left,isomorphic,3,0.1399415383695126,0.4221126634005861
720575941659183952,sensory_ascending,SApp22,auto:SApp09,right,isomorphic,3,0.07674743325936333,0.3125985716262057
720575941659223888,ascending_neuron,AN06B999,auto:AN06B057,left,female-specific,3,0.08596442753387218,0.33083728413926733
720575941659328592,ascending_neuron,AN08B010,AN08B010,right,isomorphic,3,0.45149387594624474,0.7581951312561369
720575941659400984,descending_neuron,DNg08_b,auto:DNg08,left,isomorphic,3,0.12040178634377295,0.39153584207534026
