type,n,d_med,area,sumd,pop
AN07B062,9,0.35754462371623436,1.2276373122070463,3.606314316464961,>8
AN07B063,2,0.3507311776500637,0.19398938851561132,0.7014623553001273,1-2
AN07B069_a,4,0.3188069060683798,0.3451051129452809,1.319142483162569,3-4
AN07B069_b,10,0.48142356401668973,1.9363410300472246,4.854194916669968,>8
AN07B070,6,0.28846420583514487,0.4437121589868961,1.8154495074696642,5-8
AN07B071_a,2,0.3591841977513801,0.21113836790825088,0.7183683955027602,1-2
AN07B071_b,2,0.3256008533601864,0.1665896302673586,0.6512017067203728,1-2
AN07B071_c,4,0.29248356133421993,0.3025972880471824,1.2130755045846595,3-4
AN07B071_d,4,0.30322461318259375,0.3286441170146007,1.2831077085862026,3-4
AN07B072_a,3,0.3132247862602698,0.40072691479452127,1.1579814683280985,3-4
AN07B072_b,3,0.2860563326417592,0.19687317381219666,0.8669743788924289,3-4
AN07B072_c,2,0.30317677583418384,0.14448773725691522,0.6063535516683677,1-2
AN07B072_d,3,0.356674321533103,0.38279759856575185,1.1839265785897346,3-4
AN07B072_e,6,0.4485754016622763,1.0680953045184032,2.801789671805833,5-8
AN07B072_f,2,0.561929534455926,0.5879305344641159,1.123859068911852,1-2
AN07B076,4,0.3028408646634517,0.44585029145392874,1.431979719586696,3-4
AN07B078_a,2,0.34861943373589765,0.1926592369689708,0.6972388674717953,1-2
AN07B078_b,2,0.4916831605672599,0.3999881641637752,0.9833663211345198,1-2
AN07B082_a,2,0.3329564793936811,0.1741435263577933,0.6659129587873622,1-2
AN07B082_b,2,0.4315999465942797,0.2930765731597753,0.8631998931885594,1-2
AN07B082_c,2,0.4889127742261706,0.41008716861575145,0.9778255484523412,1-2
AN07B082_d,2,0.46621074784520267,0.34225135372064897,0.9324214956904053,1-2
AN07B085,8,0.27562170388896023,0.657441936658843,2.482367404129311,5-8
AN07B089,11,0.2519730621597888,0.5726233315754395,2.808205732827639,>8
AN07B091,5,0.23354766049777248,0.2159825345226309,1.171274753533118,5-8
AN07B097,1,0.29176525888901805,0.06685856298335625,0.29176525888901805,1-2
AN07B100,1,0.18139699344554425,0.025843423860925654,0.18139699344554425,1-2
AN07B101_a,2,0.3205962446319385,0.16314834933198188,0.641192489263877,1-2
AN07B101_b,3,0.4034927975354431,0.4002190053533322,1.235813237771305,3-4
AN07B101_c,2,0.38832034095259793,0.23744623135874718,0.7766406819051959,1-2
AN07B106,2,0.6399332676840004,0.6755112608286694,1.2798665353680008,1-2
AN07B110,6,0.2895128366395882,0.40850667552687586,1.7593906394003427,5-8
AN07B116,1,0.3582590454589671,0.10080549585810053,0.3582590454589671,1-2
