type,n,d_med,area,sumd,pop
DNg01_b,2,0.9968429789908583,1.5611027212405588,1.9936859579817165,1-2
DNg01_c,2,0.6370315978347008,0.6752107143423189,1.2740631956694015,1-2
DNg01_d,2,0.43000884676441775,0.2934719907080541,0.8600176935288355,1-2
DNg01_unclear,1,0.33374426200318186,0.087481756972304,0.33374426200318186,1-2
DNg02_a,10,0.5445920427867286,2.390990302114716,5.376554768206029,>8
DNg02_b,5,0.4097329375179015,0.9695674109242969,2.4043320460966062,5-8
DNg02_c,4,0.4592012923170665,0.6339700610211374,1.7611005597390534,3-4
DNg02_d,2,0.6435939225911311,0.6924847493124924,1.2871878451822623,1-2
DNg02_e,2,0.8084228007409544,1.040369731054523,1.6168456014819088,1-2
DNg02_f,2,0.5635738606191429,0.5004137742536068,1.1271477212382859,1-2
DNg02_g,4,0.587887574215247,1.292557416445323,2.4877917096062006,3-4
DNg03,12,0.3955620069369479,1.533437981580047,4.8127651178695325,>8
DNg04,4,0.8624930977552017,2.398137344388661,3.48572986259728,3-4
DNg05_a,2,0.5521196210834234,0.47973330500153877,1.1042392421668468,1-2
DNg05_b,4,0.4976955707074665,0.8076628325021482,2.006277915476649,3-4
DNg05_c,2,0.4705405568075427,0.3494657744070057,0.9410811136150854,1-2
DNg06,12,0.37413967828513384,1.514463429363415,4.751653928343357,>8
DNg07,16,0.30172368335371014,1.3781090019924473,5.15047113791374,>8
DNg08,23,0.3737025519469044,2.812387502012208,8.809721596402895,>8
DNg09_a,6,0.3170132231629363,0.4834482686367283,1.8970384219755045,5-8
DNg09_b,2,0.4420584027958042,0.3084670195149828,0.8841168055916084,1-2
DNg10,12,0.28924585879829035,0.809978854593314,3.4958246440264698,>8
DNg100,2,1.8584073211150502,5.45025762411904,3.7168146422301005,1-2
DNg101,2,1.093504370698566,1.8892578368711817,2.187008741397132,1-2
DNg102,4,0.9433390392770741,3.118010712396075,3.948480185615125,3-4
DNg103,2,0.7287182540874189,0.834378327833907,1.4574365081748377,1-2
DNg104,2,0.6446127296053894,0.6539586025534923,1.2892254592107788,1-2
DNg105,2,2.126046854443149,7.119427130713995,4.252093708886298,1-2
DNg106,16,0.4280050560023373,2.6260523305004106,7.133714829996618,>8
DNg107,2,0.47708218195879354,0.3575256718804658,0.9541643639175871,1-2
DNg108,2,2.8872039921555133,13.097369088012428,5.7744079843110265,1-2
DNg109,2,0.7652116537641649,0.9343711603075573,1.5304233075283298,1-2
DNg11,6,0.5725311765651837,1.9120339688376482,3.6551748434675675,5-8
DNg110,6,0.5313501128928643,1.6621338572565825,3.426376120652306,5-8
DNg111,2,0.7192461840882438,0.8639175737549594,1.4384923681764876,1-2
DNg12_a,8,0.2960186400262001,0.7716066374795184,2.717780447254993,5-8
DNg12_b,10,0.30997353134424677,0.8928147123271646,3.3200624725487162,>8
DNg12_c,8,0.3484557914276171,0.9232803228919525,2.971225978738456,5-8
DNg12_d,2,0.4115329459183009,0.26961112057504427,0.8230658918366018,1-2
DNg12_e,6,0.45284155188108066,1.027198804485857,2.7891318579637683,5-8
DNg12_f,4,0.3505293308625259,0.3709339975731614,1.3712480046585576,3-4
DNg12_g,2,0.45579918922539703,0.34730993221566525,0.9115983784507941,1-2
DNg12_h,2,0.5138660635357652,0.43253539106638983,1.0277321270715305,1-2
